# Minimum garanti — traitement de référence de l'indice majoré 227
# ------------------------------------------------------------------
# source_id: sre_minimum_garanti (2004 et l'année courante),
#            legifrance_textes, sre_rapport_annuel
#
# C'est le montant PLEIN du minimum garanti, celui que sert une carrière de
# quarante ans de services. Le barème de `minimum_garanti.csv` en tire tous les
# autres, et l'applique après l'avoir ramené à l'indice majoré de l'année de
# liquidation (217 en 2004, 227 depuis 2013).
#
# MÊME PRINCIPE QUE POUR LE MINIMUM CONTRIBUTIF, ET POUR LA MÊME RAISON : les
# montants réellement servis priment sur toute projection. L'article L. 17
# renvoie à l'article L. 16, c'est-à-dire à la revalorisation des pensions —
# laquelle a été gelée en 2014, sous-indexée en 2018 et en 2020, et ne suit
# donc pas les prix. Projeter l'ancre de 2004 sur l'indice des prix donne pour
# 2024 un montant supérieur de 4,6 % à celui que l'État a payé. Une valeur
# transcrite qui dit vrai vaut mieux qu'une valeur calculée qui dit faux.
#
# Entre deux valeurs connues, et au-delà de la dernière, le modèle projette sur
# les prix depuis l'ancre EN VIGUEUR à la date demandée — la dernière fixée
# avant elle, jamais une postérieure. Avant 2004, aucune projection : la
# référence est le traitement de l'indice majoré de l'année, pris au point
# d'indice de cette année-là (`point_indice_fonction_publique.csv`).
#
# Montants EN EUROS PAR AN, l'origine des mensuels étant indiquée en regard.
#
#   2004  997,96 €/mois — valeur du traitement IM 227 au 1er janvier 2004,
#         que l'article lui-même désigne comme référence. Recoupée : le point
#         d'indice de 2004 vaut 52,7558 € par point et par an, et
#         227 × 52,7558 = 11 975,57 €. Deux chemins indépendants, même chiffre.
#   2020  1 174,33 €/mois — déduit du montant publié pour quinze ans de
#         services, 675,24 €, qui en représente 57,5 %.
#   2023  1 248,33 €/mois — montant publié au 1er mai 2023.
#   2024  1 325,01 €/mois — montant publié au 1er janvier 2024.
#   2025  1 354,16 €/mois — montant publié au 1er janvier 2025.
#
# DEUX ANCRES SONT DÉSORMAIS LUES CHEZ CELUI QUI SERT LA PENSION. Le Service
# des retraites de l'État publie, sur sa page du minimum garanti, les deux
# bornes de la chaîne : l'ancre de 2004 — « 997,96 € par mois ou 11 975,57 €
# par an » — et le montant courant, qui se date lui-même — « 16 396,19 €
# (montant du traitement indiciaire brut annuel de l'indice majoré 227
# revalorisé au 01/01/2026) ». Ce n'est pas une transcription du barème, c'est
# le barème opposé à l'assuré : ces deux-là sont `certifiee`.
#
# Les années INTERMÉDIAIRES ne sont pas publiées — la page ne porte que l'ancre
# et l'année courante — et restent des transcriptions de publications, non
# confrontées à un fichier du producteur : niveau `haute`.
#
# L'ANCRE DE 2004 A MAINTENANT TROIS CHEMINS INDÉPENDANTS : le produit
# 227 × 52,7558 € que le vérificateur refait à chaque exécution, la publication
# dont elle était transcrite, et la page du service. Les trois donnent le même
# centime.
#
# L'ANCRE DE 2004 EST TOUTEFOIS RECONTRÔLÉE, et par deux chemins indépendants :
# l'article L. 17 la définit comme le traitement de l'indice majoré 227 au
# 1er janvier 2004, et le point d'indice de cette année-là est désormais lu dans
# son décret. 227 × 52,7558 = 11 975,57 € : `scripts/verifier_donnees.py` refait
# le calcul à chaque exécution et signale tout écart.
annee,valeur,fiabilite
2004,11975.570000,certifiee
2020,14091.960000,haute
2023,14979.960000,haute
2024,15900.120000,haute
2025,16249.920000,haute
2026,16396.190000,certifiee
