# Dépenses du risque vieillesse-survie, ventilées par système, France
# source_id: drees_comptes_protection_sociale
# unite: millions d'euros courants de l'année
# fiabilite:
#   certifiee (1990-2024) : prestations du poste E11-2 par organisme,
#             regroupées selon REGIMES_CPS dans
#             scripts/verifier_donnees.py, qui les recontrôle contre
#             l'API de la DREES et vérifie que leur somme rend le total.
#
# POURQUOI LA VENTILATION NE COMMENCE QU'EN 1990
# -----------------------------------------------
# La DREES ventile bien le risque depuis 1981, mais dans une nomenclature
# différente — « Régime général de la Sécurité sociale », « Régimes
# spéciaux », « Régimes de l'État et des entreprises publiques » — dont
# les périmètres ne se recoupent pas avec ceux de 1990 : les
# complémentaires n'y sont pas encore séparées de l'Agirc et de l'Arrco.
# Personne n'a publié le raccord. Ces neuf années sont une impasse, et
# le total, lui, les couvre depuis 1959.
#
# LE DÉCOUPAGE EST CELUI DE LA COMPTABILITÉ NATIONALE
# ----------------------------------------------------
# La DREES ventile par SECTEUR INSTITUTIONNEL et non par caisse. Deux
# conséquences qu'il faut connaître pour lire ces chiffres :
#   * « regimes_speciaux » réunit la CNRACL, la SNCF, la RATP, les IEG et
#     les autres — la fonction publique territoriale et hospitalière y est
#     donc, et non avec l'État ;
#   * « regime_general » absorbe, à compter de 2020, les artisans et les
#     commerçants, dont le régime a été adossé à la Cnav.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,depenses_meur,fiabilite
1999,agirc_arrco,39168.8,certifiee
1999,aide_sociale_locale,2002.1,certifiee
1999,exploitants_agricoles,8072.0,certifiee
1999,fonction_publique_etat,25885.7,certifiee
1999,ircantec,1004.0,certifiee
1999,non_salaries_autres,5708.0,certifiee
1999,professions_liberales,2277.1,certifiee
1999,regime_general,56033.3,certifiee
1999,regimes_speciaux,14912.7,certifiee
1999,repartition_autres,1258.2,certifiee
1999,salaries_agricoles,4394.4,certifiee
1999,solidarite_etat,1572.6,certifiee
1999,supplementaire,10368.0,certifiee
2000,agirc_arrco,40159.9,certifiee
2000,aide_sociale_locale,2002.6,certifiee
2000,exploitants_agricoles,8159.0,certifiee
2000,fonction_publique_etat,26984.6,certifiee
2000,ircantec,1081.2,certifiee
2000,non_salaries_autres,5787.0,certifiee
2000,professions_liberales,2357.6,certifiee
2000,regime_general,57679.5,certifiee
2000,regimes_speciaux,15585.5,certifiee
2000,repartition_autres,1178.9,certifiee
2000,salaries_agricoles,4514.7,certifiee
2000,solidarite_etat,1580.3,certifiee
2000,supplementaire,11031.2,certifiee
2001,agirc_arrco,41710.9,certifiee
2001,aide_sociale_locale,2044.8,certifiee
2001,exploitants_agricoles,8371.3,certifiee
2001,fonction_publique_etat,28051.6,certifiee
2001,ircantec,1184.3,certifiee
2001,non_salaries_autres,5817.7,certifiee
2001,professions_liberales,2446.4,certifiee
2001,regime_general,60382.6,certifiee
2001,regimes_speciaux,16309.9,certifiee
2001,repartition_autres,1240.2,certifiee
2001,salaries_agricoles,4511.3,certifiee
2001,solidarite_etat,1573.1,certifiee
2001,supplementaire,11821.3,certifiee
2002,agirc_arrco,43353.1,certifiee
2002,aide_sociale_locale,3976.3,certifiee
2002,exploitants_agricoles,8539.6,certifiee
2002,fonction_publique_etat,29398.3,certifiee
2002,ircantec,1236.8,certifiee
2002,non_salaries_autres,6074.9,certifiee
2002,professions_liberales,2534.9,certifiee
2002,regime_general,62373.3,certifiee
2002,regimes_speciaux,16851.9,certifiee
2002,repartition_autres,1277.8,certifiee
2002,salaries_agricoles,4572.4,certifiee
2002,solidarite_etat,1584.1,certifiee
2002,supplementaire,12293.6,certifiee
2003,agirc_arrco,45100.1,certifiee
2003,aide_sociale_locale,5234.4,certifiee
2003,exploitants_agricoles,8633.2,certifiee
2003,fonction_publique_etat,30790.0,certifiee
2003,ircantec,1297.4,certifiee
2003,non_salaries_autres,6113.5,certifiee
2003,professions_liberales,2641.8,certifiee
2003,regime_general,64781.8,certifiee
2003,regimes_speciaux,17339.9,certifiee
2003,repartition_autres,1236.1,certifiee
2003,salaries_agricoles,4637.9,certifiee
2003,solidarite_etat,1592.6,certifiee
2003,supplementaire,13021.3,certifiee
2004,agirc_arrco,47452.2,certifiee
2004,aide_sociale_locale,5721.7,certifiee
2004,exploitants_agricoles,8798.1,certifiee
2004,fonction_publique_etat,32495.6,certifiee
2004,ircantec,1378.4,certifiee
2004,non_salaries_autres,6301.6,certifiee
2004,professions_liberales,2771.4,certifiee
2004,regime_general,68218.3,certifiee
2004,regimes_speciaux,18078.1,certifiee
2004,repartition_autres,1308.7,certifiee
2004,salaries_agricoles,4736.3,certifiee
2004,solidarite_etat,1609.9,certifiee
2004,supplementaire,13877.7,certifiee
2005,agirc_arrco,50888.5,certifiee
2005,aide_sociale_locale,6047.2,certifiee
2005,exploitants_agricoles,8911.5,certifiee
2005,fonction_publique_etat,33965.5,certifiee
2005,ircantec,1469.3,certifiee
2005,non_salaries_autres,6688.1,certifiee
2005,professions_liberales,3078.9,certifiee
2005,regime_general,73583.1,certifiee
2005,regimes_speciaux,18801.1,certifiee
2005,repartition_autres,1352.2,certifiee
2005,salaries_agricoles,4876.7,certifiee
2005,solidarite_etat,1650.8,certifiee
2005,supplementaire,11947.5,certifiee
2006,agirc_arrco,53739.9,certifiee
2006,aide_sociale_locale,6446.5,certifiee
2006,exploitants_agricoles,8971.8,certifiee
2006,fonction_publique_etat,37892.5,certifiee
2006,ircantec,1538.4,certifiee
2006,non_salaries_autres,7093.3,certifiee
2006,professions_liberales,3092.8,certifiee
2006,regime_general,77850.1,certifiee
2006,regimes_speciaux,20409.1,certifiee
2006,repartition_autres,1417.7,certifiee
2006,salaries_agricoles,5019.0,certifiee
2006,solidarite_etat,1681.6,certifiee
2006,supplementaire,11047.5,certifiee
2007,agirc_arrco,57017.0,certifiee
2007,aide_sociale_locale,6868.3,certifiee
2007,exploitants_agricoles,9162.5,certifiee
2007,fonction_publique_etat,40453.1,certifiee
2007,ircantec,1656.9,certifiee
2007,non_salaries_autres,7434.1,certifiee
2007,professions_liberales,3255.4,certifiee
2007,regime_general,82894.8,certifiee
2007,regimes_speciaux,21445.1,certifiee
2007,repartition_autres,1459.8,certifiee
2007,salaries_agricoles,5130.3,certifiee
2007,solidarite_etat,1588.6,certifiee
2007,supplementaire,10644.7,certifiee
2008,agirc_arrco,60286.0,certifiee
2008,aide_sociale_locale,7265.5,certifiee
2008,exploitants_agricoles,9357.8,certifiee
2008,fonction_publique_etat,42379.7,certifiee
2008,ircantec,1773.4,certifiee
2008,non_salaries_autres,7904.3,certifiee
2008,professions_liberales,3470.9,certifiee
2008,regime_general,87255.7,certifiee
2008,regimes_speciaux,22587.3,certifiee
2008,repartition_autres,1521.8,certifiee
2008,salaries_agricoles,5259.0,certifiee
2008,solidarite_etat,1566.0,certifiee
2008,supplementaire,10683.5,certifiee
2009,agirc_arrco,63187.0,certifiee
2009,aide_sociale_locale,7540.4,certifiee
2009,exploitants_agricoles,9389.5,certifiee
2009,fonction_publique_etat,44131.4,certifiee
2009,ircantec,1930.0,certifiee
2009,non_salaries_autres,8199.2,certifiee
2009,professions_liberales,3684.3,certifiee
2009,regime_general,91573.1,certifiee
2009,regimes_speciaux,23713.9,certifiee
2009,repartition_autres,1552.0,certifiee
2009,salaries_agricoles,5301.6,certifiee
2009,solidarite_etat,1551.3,certifiee
